epoch,loss,accuracy
1,0.5819575190544128,0.8400000333786011
2,0.6730309724807739,0.8400000333786011
3,0.897272527217865,0.6666666865348816
4,1.288336157798767,0.6000000238418579
5,0.7079019546508789,0.7733333706855774
6,0.4044933021068573,0.9466667175292969
7,1.0526195764541626,0.6800000071525574
8,0.6797074675559998,0.800000011920929
9,0.8390095233917236,0.746666669845581
10,0.835141122341156,0.7333333492279053
11,1.1309235095977783,0.5200000405311584
12,0.404278963804245,0.8799999952316284
13,0.5465616583824158,0.8799999952316284
14,0.5106064081192017,0.8666666746139526
15,0.6273854374885559,0.8133333325386047
16,0.8563417792320251,0.7066667079925537
17,0.8644020557403564,0.6666666865348816
18,0.7445629835128784,0.7333333492279053
19,0.6239809393882751,0.800000011920929
20,0.9916835427284241,0.6666666865348816
21,0.4035851061344147,0.9600000381469727
22,0.7404939532279968,0.800000011920929
23,0.4507450759410858,0.8533333539962769
24,0.4444585144519806,0.893333375453949
25,0.5280852317810059,0.893333375453949
26,0.44266021251678467,0.8400000333786011
27,1.1831177473068237,0.6399999856948853
28,0.38752061128616333,0.9333333373069763
29,0.528302788734436,0.8799999952316284
30,0.5831842422485352,0.8266667127609253
31,0.5679230690002441,0.8533333539962769
32,0.5030809044837952,0.8799999952316284
33,0.7743500471115112,0.6933333277702332
34,0.5926280617713928,0.8133333325386047
35,0.5653268694877625,0.8400000333786011
36,0.4836094081401825,0.893333375453949
37,0.3973276913166046,0.9066666960716248
38,0.6253893971443176,0.8266667127609253
39,0.5295050740242004,0.8400000333786011
40,0.35091009736061096,0.9466667175292969
41,0.6213164329528809,0.746666669845581
42,0.42309585213661194,0.893333375453949
43,0.5205528736114502,0.800000011920929
44,0.43190687894821167,0.8533333539962769
45,0.4194752275943756,0.9066666960716248
46,0.5584580302238464,0.8266667127609253
47,0.41292235255241394,0.893333375453949
48,0.575471818447113,0.8400000333786011
49,0.36058488488197327,0.9466667175292969
50,0.6542736291885376,0.7333333492279053
51,0.3800533413887024,0.893333375453949
52,0.4308319091796875,0.893333375453949
53,0.6592311859130859,0.7866666913032532
54,0.4164196848869324,0.9066666960716248
55,0.5529906153678894,0.7733333706855774
56,0.4514376223087311,0.8799999952316284
57,0.5983059406280518,0.8266667127609253
58,0.28495118021965027,0.9466667175292969
59,0.5415573716163635,0.7866666913032532
60,0.5004435181617737,0.8533333539962769
61,0.5836092829704285,0.8133333325386047
62,0.4326125979423523,0.8666666746139526
63,0.6003211736679077,0.800000011920929
64,0.5142709612846375,0.8799999952316284
65,0.4074593484401703,0.893333375453949
66,0.6195743083953857,0.800000011920929
67,0.49159932136535645,0.8533333539962769
68,0.45646658539772034,0.9200000166893005
69,0.8652584552764893,0.7200000286102295
70,0.7770153880119324,0.8400000333786011
71,0.4072993993759155,0.9466667175292969
72,0.7838687300682068,0.7333333492279053
73,0.4641166627407074,0.8666666746139526
74,0.9861114621162415,0.6399999856948853
75,0.7230910062789917,0.746666669845581
76,0.4642413258552551,0.8400000333786011
77,0.2860039174556732,0.9466667175292969
78,0.7313719391822815,0.7599999904632568
79,0.41163989901542664,0.893333375453949
80,0.42669808864593506,0.8533333539962769
81,0.9472477436065674,0.6933333277702332
82,0.2754878103733063,0.9200000166893005
83,0.1524280309677124,0.9866666793823242
84,0.24101592600345612,0.9466667175292969
85,0.5177028179168701,0.8533333539962769
86,0.5471743941307068,0.8533333539962769
87,0.4266391396522522,0.893333375453949
88,0.41036009788513184,0.9333333373069763
89,0.5347301363945007,0.8266667127609253
90,0.7567837238311768,0.9066666960716248
91,0.547116219997406,0.8533333539962769
92,0.27047857642173767,0.9466667175292969
93,0.5817928314208984,0.800000011920929
94,0.6392872929573059,0.8799999952316284
95,0.22170722484588623,0.9866666793823242
96,0.6056690216064453,0.7333333492279053
97,0.36924436688423157,0.8533333539962769
98,0.7168444991111755,0.800000011920929
99,0.6319414377212524,0.800000011920929
100,0.588108479976654,0.7866666913032532
