Epoch 1: Loss=0.520271, Acc=0.8359
Epoch 2: Loss=0.114835, Acc=0.9629
Epoch 3: Loss=0.075444, Acc=0.9772
Epoch 4: Loss=0.055266, Acc=0.9818
Epoch 5: Loss=0.042290, Acc=0.9869
Epoch 6: Loss=0.029837, Acc=0.9904
Epoch 7: Loss=0.024656, Acc=0.9922
Epoch 8: Loss=0.015372, Acc=0.9955
Epoch 9: Loss=0.012212, Acc=0.9959
Epoch 10: Loss=0.009862, Acc=0.9968
Epoch 11: Loss=1.553938, Acc=0.5390
Epoch 12: Loss=0.584796, Acc=0.8568
Epoch 13: Loss=0.325473, Acc=0.9167
Epoch 14: Loss=0.227379, Acc=0.9424
Epoch 15: Loss=0.178710, Acc=0.9526
