epoch,loss,accuracy
1,1.171148419380188,0.8266667127609253
2,1.2368072271347046,0.7066667079925537
3,0.990231454372406,0.800000011920929
4,1.1223400831222534,0.5733333230018616
5,0.8339039087295532,0.746666669845581
6,0.6758402585983276,0.8799999952316284
7,1.2223623991012573,0.5600000023841858
8,1.0377439260482788,0.5733333230018616
9,2.2551217079162598,0.41333335638046265
10,1.3573390245437622,0.41333335638046265
11,0.9011327028274536,0.7200000286102295
12,0.7157372832298279,0.7333333492279053
13,0.7485616207122803,0.6933333277702332
14,0.7333253026008606,0.8266667127609253
15,0.6063991189002991,0.893333375453949
16,0.7603484988212585,0.8266667127609253
17,0.9552233815193176,0.6399999856948853
18,0.9859526753425598,0.6666666865348816
19,0.6191364526748657,0.8666666746139526
20,0.7417861819267273,0.7866666913032532
21,0.5655656456947327,0.8533333539962769
22,0.9863095283508301,0.6399999856948853
23,0.39469319581985474,0.9200000166893005
24,0.4164067208766937,0.8533333539962769
25,0.7470845580101013,0.7599999904632568
26,0.9072904586791992,0.6133333444595337
27,0.9735622406005859,0.6533333659172058
28,0.3678547739982605,0.9200000166893005
29,0.5223881006240845,0.8133333325386047
30,0.851227879524231,0.6666666865348816
31,0.5947791337966919,0.8400000333786011
32,0.45778870582580566,0.8666666746139526
33,0.602786123752594,0.8133333325386047
34,1.0109000205993652,0.54666668176651
35,0.6493908166885376,0.7200000286102295
36,0.9313134551048279,0.6000000238418579
37,0.5536289215087891,0.7866666913032532
38,0.6268863677978516,0.6933333277702332
39,0.8421417474746704,0.7333333492279053
40,1.1010119915008545,0.5600000023841858
41,0.6588764190673828,0.6800000071525574
42,0.35282596945762634,0.893333375453949
43,0.7355955243110657,0.7333333492279053
44,0.9630008935928345,0.6666666865348816
45,0.47387436032295227,0.8400000333786011
46,0.42206165194511414,0.8799999952316284
47,0.5525784492492676,0.7866666913032532
48,0.764097273349762,0.5733333230018616
49,0.49634185433387756,0.8533333539962769
50,0.8888474702835083,0.7066667079925537
51,0.4523274600505829,0.893333375453949
52,0.4871591627597809,0.8799999952316284
53,0.5022785067558289,0.7733333706855774
54,0.6519410014152527,0.6000000238418579
55,0.4057309031486511,0.9066666960716248
56,0.6112692952156067,0.8133333325386047
57,0.3679247796535492,0.8400000333786011
58,0.16362395882606506,0.9600000381469727
59,0.3511377274990082,0.893333375453949
60,0.6982157826423645,0.746666669845581
61,0.8163801431655884,0.6933333277702332
62,0.7175596356391907,0.7333333492279053
63,0.37929490208625793,0.9200000166893005
64,1.0402418375015259,0.6266666650772095
65,0.5568898916244507,0.800000011920929
66,0.4198108911514282,0.9200000166893005
67,0.6528707146644592,0.6933333277702332
68,0.9294238090515137,0.6399999856948853
69,1.0651427507400513,0.5733333230018616
70,0.5418174266815186,0.800000011920929
71,0.8243107199668884,0.5733333230018616
72,0.9610637426376343,0.54666668176651
73,0.4540878236293793,0.8799999952316284
74,0.895602822303772,0.6533333659172058
75,0.9960318207740784,0.6533333659172058
76,0.43291014432907104,0.9066666960716248
77,0.3338727355003357,0.8799999952316284
78,0.9885537624359131,0.6000000238418579
79,0.8764069676399231,0.6533333659172058
80,0.7222830653190613,0.7200000286102295
81,0.6064056158065796,0.7200000286102295
82,0.40669193863868713,0.8400000333786011
83,0.2856118679046631,0.9733333587646484
84,0.4358483850955963,0.8533333539962769
85,0.48875823616981506,0.7866666913032532
86,0.5817193388938904,0.7733333706855774
87,0.543857216835022,0.893333375453949
88,0.7304577827453613,0.6800000071525574
89,0.573930025100708,0.8266667127609253
90,0.7568557858467102,0.7200000286102295
91,0.7062792181968689,0.6933333277702332
92,0.6085144877433777,0.7599999904632568
93,0.41706255078315735,0.8266667127609253
94,0.8511927723884583,0.7333333492279053
95,0.20261609554290771,0.9733333587646484
96,0.46223607659339905,0.6800000071525574
97,0.4250762462615967,0.8400000333786011
98,0.49925974011421204,0.800000011920929
99,1.104211449623108,0.6133333444595337
100,0.37145885825157166,0.9066666960716248
